,1,2,3,4,5,6,7,8,9,10,11,12,13
1371.7,4.80E-01,4.45E-01,4.00E-01,3.40E-01,2.80E-01,2.27E-01,1.78E-01,1.46E-01,1.33E-01,1.30E-01,1.27E-01,1.26E-01,1.25E-01
1369.8,5.38E-01,4.94E-01,4.40E-01,3.67E-01,2.94E-01,2.29E-01,1.72E-01,1.35E-01,1.20E-01,1.23E-01,1.23E-01,1.22E-01,1.21E-01
1367.9,6.10E-01,5.59E-01,4.95E-01,4.07E-01,3.19E-01,2.40E-01,1.72E-01,1.27E-01,1.09E-01,1.17E-01,1.19E-01,1.18E-01,1.17E-01
1365.9,6.56E-01,6.01E-01,5.30E-01,4.34E-01,3.36E-01,2.48E-01,1.72E-01,1.20E-01,1.01E-01,1.11E-01,1.15E-01,1.14E-01,1.14E-01
1364,6.58E-01,6.03E-01,5.31E-01,4.34E-01,3.36E-01,2.46E-01,1.69E-01,1.14E-01,9.44E-02,1.06E-01,1.11E-01,1.10E-01,1.10E-01
1362.1,6.24E-01,5.70E-01,5.02E-01,4.10E-01,3.16E-01,2.30E-01,1.58E-01,1.06E-01,8.70E-02,1.00E-01,1.06E-01,1.06E-01,1.05E-01
1360.1,5.77E-01,5.26E-01,4.63E-01,3.78E-01,2.90E-01,2.10E-01,1.44E-01,9.74E-02,8.13E-02,9.54E-02,1.01E-01,1.01E-01,1.01E-01
1358.2,5.27E-01,4.81E-01,4.22E-01,3.44E-01,2.63E-01,1.91E-01,1.32E-01,8.99E-02,7.68E-02,9.07E-02,9.69E-02,9.67E-02,9.60E-02
1356.3,4.78E-01,4.35E-01,3.82E-01,3.11E-01,2.38E-01,1.73E-01,1.20E-01,8.35E-02,7.30E-02,8.71E-02,9.30E-02,9.29E-02,9.22E-02
1354.4,4.31E-01,3.92E-01,3.44E-01,2.80E-01,2.14E-01,1.57E-01,1.10E-01,7.81E-02,7.01E-02,8.45E-02,9.00E-02,8.99E-02,8.94E-02
1352.4,3.93E-01,3.57E-01,3.13E-01,2.55E-01,1.96E-01,1.45E-01,1.03E-01,7.48E-02,6.88E-02,8.30E-02,8.81E-02,8.79E-02,8.77E-02
1350.5,3.64E-01,3.31E-01,2.89E-01,2.36E-01,1.81E-01,1.35E-01,9.67E-02,7.17E-02,6.71E-02,8.11E-02,8.61E-02,8.59E-02,8.58E-02
1348.6,3.43E-01,3.11E-01,2.71E-01,2.20E-01,1.69E-01,1.25E-01,9.05E-02,6.75E-02,6.40E-02,7.81E-02,8.33E-02,8.31E-02,8.31E-02
1346.6,3.27E-01,2.96E-01,2.58E-01,2.09E-01,1.60E-01,1.19E-01,8.58E-02,6.40E-02,6.10E-02,7.45E-02,7.99E-02,7.96E-02,7.97E-02
1344.7,3.11E-01,2.82E-01,2.46E-01,2.00E-01,1.54E-01,1.14E-01,8.25E-02,6.18E-02,5.88E-02,7.10E-02,7.60E-02,7.58E-02,7.57E-02
1342.8,2.92E-01,2.66E-01,2.33E-01,1.90E-01,1.47E-01,1.10E-01,8.00E-02,6.07E-02,5.73E-02,6.81E-02,7.24E-02,7.23E-02,7.21E-02
1340.9,2.70E-01,2.46E-01,2.17E-01,1.79E-01,1.39E-01,1.06E-01,7.89E-02,6.11E-02,5.75E-02,6.64E-02,6.98E-02,6.98E-02,6.96E-02
1338.9,2.45E-01,2.25E-01,2.00E-01,1.67E-01,1.34E-01,1.04E-01,8.03E-02,6.44E-02,6.08E-02,6.69E-02,6.88E-02,6.90E-02,6.87E-02
1337,2.26E-01,2.10E-01,1.90E-01,1.63E-01,1.36E-01,1.11E-01,8.96E-02,7.57E-02,7.08E-02,7.17E-02,7.12E-02,7.10E-02,7.09E-02
1335.1,2.16E-01,2.05E-01,1.90E-01,1.70E-01,1.49E-01,1.30E-01,1.10E-01,9.83E-02,9.05E-02,8.19E-02,7.74E-02,7.67E-02,7.64E-02
1333.1,2.13E-01,2.05E-01,1.95E-01,1.80E-01,1.65E-01,1.50E-01,1.31E-01,1.20E-01,1.10E-01,9.32E-02,8.47E-02,8.38E-02,8.32E-02
1331.2,2.07E-01,2.02E-01,1.94E-01,1.82E-01,1.69E-01,1.56E-01,1.38E-01,1.28E-01,1.17E-01,9.95E-02,8.98E-02,8.92E-02,8.83E-02
1329.3,1.88E-01,1.84E-01,1.77E-01,1.67E-01,1.56E-01,1.45E-01,1.29E-01,1.21E-01,1.13E-01,9.91E-02,9.10E-02,9.05E-02,8.96E-02
1327.3,1.58E-01,1.53E-01,1.47E-01,1.38E-01,1.28E-01,1.19E-01,1.08E-01,1.02E-01,9.83E-02,9.16E-02,8.72E-02,8.67E-02,8.62E-02
1325.4,1.33E-01,1.27E-01,1.21E-01,1.12E-01,1.02E-01,9.37E-02,8.49E-02,8.11E-02,8.12E-02,8.24E-02,8.15E-02,8.11E-02,8.08E-02
1323.5,1.16E-01,1.10E-01,1.03E-01,9.38E-02,8.43E-02,7.65E-02,6.96E-02,6.69E-02,6.95E-02,7.59E-02,7.71E-02,7.68E-02,7.67E-02
1321.6,1.04E-01,9.89E-02,9.20E-02,8.25E-02,7.32E-02,6.59E-02,6.04E-02,5.84E-02,6.27E-02,7.20E-02,7.44E-02,7.43E-02,7.42E-02
1319.6,9.75E-02,9.22E-02,8.53E-02,7.60E-02,6.70E-02,6.02E-02,5.56E-02,5.42E-02,5.94E-02,7.04E-02,7.36E-02,7.35E-02,7.34E-02
1317.7,9.40E-02,8.89E-02,8.22E-02,7.32E-02,6.45E-02,5.80E-02,5.38E-02,5.29E-02,5.88E-02,7.09E-02,7.46E-02,7.46E-02,7.43E-02
1315.8,9.30E-02,8.80E-02,8.14E-02,7.25E-02,6.41E-02,5.80E-02,5.43E-02,5.35E-02,5.98E-02,7.25E-02,7.65E-02,7.65E-02,7.63E-02
1313.8,9.33E-02,8.82E-02,8.19E-02,7.33E-02,6.50E-02,5.93E-02,5.57E-02,5.47E-02,6.14E-02,7.41E-02,7.81E-02,7.80E-02,7.79E-02
1311.9,9.40E-02,8.94E-02,8.35E-02,7.57E-02,6.77E-02,6.20E-02,5.84E-02,5.74E-02,6.33E-02,7.46E-02,7.83E-02,7.82E-02,7.80E-02
1310,9.46E-02,9.11E-02,8.60E-02,7.93E-02,7.26E-02,6.72E-02,6.34E-02,6.21E-02,6.63E-02,7.43E-02,7.68E-02,7.67E-02,7.65E-02
1308.1,9.16E-02,8.90E-02,8.49E-02,7.96E-02,7.44E-02,6.98E-02,6.62E-02,6.49E-02,6.75E-02,7.27E-02,7.40E-02,7.38E-02,7.37E-02
1306.1,8.24E-02,8.00E-02,7.67E-02,7.19E-02,6.78E-02,6.42E-02,6.13E-02,6.05E-02,6.31E-02,6.85E-02,7.01E-02,7.00E-02,6.98E-02
1304.2,7.16E-02,6.92E-02,6.62E-02,6.18E-02,5.81E-02,5.51E-02,5.33E-02,5.31E-02,5.61E-02,6.32E-02,6.58E-02,6.58E-02,6.56E-02
1302.3,6.33E-02,6.10E-02,5.82E-02,5.46E-02,5.14E-02,4.90E-02,4.83E-02,4.82E-02,5.08E-02,5.87E-02,6.19E-02,6.21E-02,6.17E-02
1300.3,5.74E-02,5.53E-02,5.30E-02,5.03E-02,4.80E-02,4.64E-02,4.64E-02,4.64E-02,4.79E-02,5.52E-02,5.86E-02,5.87E-02,5.84E-02
